x;y;radius;error
1958;2036;1847;168.43593925237656
1959;2037;1844;183.81199248631796
1959;2040;1841;201.35898103316626
1958;2034;1849;197.34649648269018
1959;2041;1849;221.30938539902368
1955;2038;1848;140.77620456616083
1955;2041;1844;182.9973465204239
1957;2035;1841;167.19666101535162
1952;2033;1845;179.6887550751368
1951;2039;1842;188.06127526362738
1958;2036;1849;173.59394903977713
1953;2040;1843;171.7774776419004
1958;2033;1845;208.68026522795358
1958;2039;1843;170.35997668902078
1956;2034;1842;166.9441502292951
1952;2034;1841;177.3703995347023
1953;2034;1844;160.56837677955627
1955;2036;1848;125.48103620608647
1956;2037;1847;127.29298806190491
1952;2037;1846;137.77603278557459
1956;2033;1843;181.29871745904288
1952;2033;1848;179.23705367247263
1956;2037;1842;130.8946475982666
1957;2040;1845;174.69315524895987
1954;2036;1849;130.29535114765167
1956;2036;1846;130.4429585735003
1953;2039;1844;153.2870203256607
1954;2037;1847;123.43724292516708
1952;2033;1846;179.72616696357727
1958;2035;1844;181.39344666401544
1958;2039;1849;189.35527090231577
1957;2038;1848;156.96725636720657
1953;2041;1849;196.4186354279518
1956;2034;1843;166.9922629992167
1958;2039;1844;172.18744331598282
1958;2035;1849;183.88073486089706
1956;2040;1847;171.37115865945816
1952;2041;1841;201.70720130205154
1954;2034;1845;156.06946021318436
1955;2034;1844;159.89704392353693
1952;2037;1842;162.17727774381638
1959;2037;1843;184.4224145015081
1952;2037;1849;149.06922473510107
1957;2036;1845;146.80555744965872
1955;2034;1849;156.88775618871054
1959;2035;1843;200.7091385126114
1951;2038;1845;161.475306669871
1958;2036;1841;174.78604827324548
1959;2039;1842;190.01766858498254
1951;2034;1847;170.86559089024863
1955;2033;1844;175.34361614783606
1958;2039;1842;169.4974624713262
1955;2033;1842;174.51368697484335
1953;2036;1841;159.69263221820196
1955;2041;1848;185.94852175315222
1956;2038;1846;134.15198403596878
1953;2033;1848;173.21476509173712
1951;2035;1849;155.52702103058496
1959;2039;1841;190.14440723260245
1956;2036;1848;133.5335798660914
1955;2036;1843;133.69862735271454
1953;2033;1845;174.42550114790598
1953;2033;1846;174.03648018836975
1953;2041;1847;191.47867035865784
1956;2034;1847;164.91271736224493
1958;2039;1848;185.459959089756
1953;2037;1849;140.94618984063467
1951;2035;1848;154.27672451734543
1952;2037;1845;139.37859946489334
1951;2036;1848;148.56463730335236
1954;2037;1843;130.3505954941114
1951;2039;1847;178.2038330833117
1953;2041;1844;189.54950833320618
1951;2036;1845;155.66948672135672
1954;2033;1848;170.94416538874307
1954;2037;1849;135.07698758443198
1952;2033;1842;181.86816642681757
1959;2036;1842;192.53232101599374
1951;2037;1844;160.55274681250253
1955;2040;1842;161.96582732597986
1958;2038;1846;166.65243697166443
1953;2036;1843;144.33005034923553
1952;2037;1848;143.60878213246664
1958;2033;1848;210.68955101569495
1955;2036;1847;122.81068899234135
1953;2034;1845;158.27018837134042
1955;2034;1842;161.59767162799835
1958;2035;1845;180.7469628850619
